Authors	Title	Year	Abstract	Author Keywords	Page start	Page end	Page count	Source	!	D	I1	I2	I3a	I3b	I3c	I3d	I3e
Nadzir M.M.; Pillay B.	A mobile game approach for energy conservation awareness	2022	Energy plays a vital role in our daily lives. Energy needs to be conserved to cut costs and preserve the resources for more extended use. Energy conservation is an effort to reduce energy consumption by being more energy efficient. However, many people waste a lot of energy in their daily usage. Energy waste tends to happen due to a lack of energy conservation awareness among the public. Even though there are many digital resources on energy conservation, few mobile games are about energy conservation awareness. Therefore, this study proposes a mobile game prototype that emphasizes energy conservation, specifically electricity consumption. A rapid prototyping model modified for serious game development is used to develop the prototype. Nine participants were involved in testing the basic prototype. Most of the participants were satisfied with the game mechanics. The study's outcome shows that this prototype is promising to promote energy conservation with more fun and interactivity via a mobile game platform.  © 2022 IEEE.	climate change; energy conservation; mobile applications; mobile game; mobile learning				Scopus			X	?	O	O			
Ng C.; Marquardt N.	Eliciting User-Defined Touch and Mid-air Gestures for Co-located Mobile Gaming	2022	Many interaction techniques have been developed to best support mobile gaming - but developed gestures and techniques might not always match user behaviour or preferences. To inform this design space of gesture input for co-located mobile gaming, we present insights from a gesture elicitation user study for touch and mid-air input, specifically focusing on board and card games due to the materiality of game artefacts and rich interaction between players. We obtained touch and mid-air gesture proposals for 11 game tasks with 12 dyads and gained insights into user preferences. We contribute our classification and analysis of 622 elicited gestures (showing more collaborative gestures in the mid-air modality), resulting in a consensus gesture set, and agreement rates showing higher consensus for touch gestures. Furthermore, we identified interaction patterns - such as benefits of situational awareness, social etiquette, gestures fostering interaction between players, and roles of gestures providing fun, excitement, and suspense to the game - which can inform future games and gesture design.  © 2022 ACM.	gesture elicitation; hand gestures; mobile device; tabletop gaming				Scopus			X	?	O	O			
Nunes E.; Gavaia B.; Rodrigues R.; Sampaio L.; Silva R.	Liber Domus – Development of a Prototype RPG for 6th Grade Mathematics and Science Learning	2022	Recent studies shed an unfavourable light on existing tools that support at-distance learning in pre-university students. Concerns revolve around motivation, focus, engagement as well as long-term knowledge retention rates. Multiple attempts were made to connect digital games with education, designated by Game-Based Learning, although educational outcomes have been mixed. Possibly due to ad-hoc experimentation, the effects seem related to relationships between specific game mechanisms and structural design. This research project focused on potential effects of a digital 3D role-playing game in learning. A multidisciplinary team built a prototype, named Liber Domus, using game developing techniques and mechanisms that have never been used or explored in the area on this scale. Preliminary results show the game presents students with a more dynamic approach to learning inside the classroom, increasing motivation and fun levels and allowing for a less repetitive revision of subjects, and the flexibility of the tool for both classroom and at-home learning. Further development is ongoing. © 2022, Interaction Design and Architecture(s). All Rights Reserved.	Elementary students; Game-based learning; Learning; Role-playing games; Storytelling	51	69	18	Scopus			X	?	O	O	O		
Oliveira F.T.; Tong B.W.; Garcia J.A.; Gay V.C.	CogWorldTravel: Design of a Game-Based Cognitive Screening Instrument	2022	As cybersecurity education and training methods endeavor to build a skilled workforce to meet the growing demands of government and industry, it is important to craft training exercises to build and assess a learner’s understanding of cybersecurity topics in a fun and meaningful way. To meet this need, we designed a concept map and virtual model of a collaborative, virtual cybersecurity escape room. Escape rooms, which are a form of serious games intended to increase knowledge and skills or measure learning outcomes, are scenario-based and interactive in nature. The artifacts described align the serious gaming elements with elements associated with the learning experience to assist game designers and educators in addressing the need for a collaborative virtual space where learners can practice skills associated with cybersecurity in a gamified manner. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.	Cybersecurity; Education; Escape room; Game; Training; Virtual	125	139	14	Scopus			X						
Oliveto A.H.; Wright P.; Kumar N.; Gokarakonda S.; Fischer-Laycock I.; Williams J.; Thompson R.G.	Acceptability of a Game-Based Intervention to Prevent Adolescent Prescription Opioid Misuse	2022	 Error 	Adolescents; Drug prevention; Gamification; Prescription opioids; Smartphone	104	116	12	Scopus			X						
Oyedele O.; Ayankunle M.	The Introduction of Gamification in the Teaching of German as a Foreign Language at Obafemi Awolowo University, Ile-Ife, Nigeria; [Die Einführung von Gamification im DaF Unterricht an der Obafemi Awolowo Universität, Ile-Ife, Nigeria]	2022	Most Nigerian students of German are between 16 and 30 years old. This age group tends to be more interested in playing computer and video games than doing their home- and class work with traditional materials such as textbooks and workbooks. Younger students need interesting activities that are fun for them and motivate them to learn and, as a result, make progress and achieve rapid success in their learning. It is therefore surprising that gamification has not yet been introduced into the curricula of Nigerian higher institutions. As a result, there is hardly any research in the field of gamification in foreign language learning in general or its use in the teaching of German in particular. This lacuna in research on gamification in German studies in Nigeria led to the present study, which examines the introduction of gamification into German lessons at Obafemi Awolowo University. The study aims at initiating a targeted discussion on gamification in German studies and stimulating further scholarly conversations on the topic. Through this, the possibility of creating a didactic design for the use of gamification in German studies in Nigeria can be achieved. This study uses secondary data sources including articles, books and reviews about gamification in education or classrooms. Other sources include websites and blog posts. These sources provide useful insights from various studies on gamification and its use in education, especially in foreign language teaching, which help in drawing up suggestions for a successful introduction of gamification into the curriculum of Nigerian universities especially that of German at the Obafemi Awolowo University in Nigeria. The analysis of the data is based on a descriptive and content analysis. © 2022 by the authors.	Gamification; German as a foreign language; Nigeria; Obafemi Awolowo University; Students of German	189	209	20	Scopus			X						
Parab A.; Rathod N.; Patil T.; Deshpande K.; Deshmukh N.	A 3D Storyline Using Unity Game Engine	2022	Within the modern technological era, there is a growing desire for video games with compelling narratives and storylines. The popularity of e-sports has grown, and many players have found success in streaming and tournaments. With an upsurge in expansive user base, the gaming industry is taking off in wonderfulness, drawing in major innovation powerhouses to compete within the commercial center. This paper discusses a single-player game with an Indian folklore story. The purpose of this paper is to pique children's and teenagers' interest in Indian culture by portraying it as a video game. Video games are played or have been played by more than a 90percent of children, according to the study. If used correctly, it has the potential to be an extremely powerful method of disseminating information. This enables us to develop a Mahabharata-themed video game that will pique gamers' interest in the epic story. It's a fun game designed for operating systems like Windows. A player can learn about Indian mythology and respond to the game's difficulties while playing the shooter game. Unity3D software is essential for creating unique and entertaining games, as well as creating responsive video games and providing a more visual world[4]. A Computer program like Unity3D employments inventive approaches to game advancement. The Unity engine provides a comprehensive solution with interactive media installation features. It serves an important purpose in game development. Unity3D makes use of OpenGL to render 3D graphics[2] [6]. Blender is a 3D rendering and animation program widely used by professional artists to create animations, visual effects, 3D prints, interactive 3D applications, etc[2]. Although the Unity Engine and frameworks play an important role in the development process, they are not the only factors. Game creation frameworks include graphical user interfaces (GUIs) such as a level editor, script editor, sound editor, and material editor [8] that aid in the separation of functions. Blender allows users to create flexible models by providing 3D modeling, texturing, graphics editing, animating, match moving, rendering, motion graphics, video editing, and compositing. During the development of this game, Unity3D was used for the interactive game interface, while Blender software was used to create 3D characters. © 2022 IEEE.	After Effects tool; Audition tool; Blender; Photoshop; Unity3D				Scopus			X	?	O	O			
Pasco D.; Roure C.	Situational interest impacts college students’ physical activity in a design-based bike exergame	2022	Background: Active videogames or exergames have been used as an innovative way to promote physical activity (PA) among various populations. A player's interest in active videogames is associated with the fun and entertaining nature of the games and may trigger situational interest, thus increasing engagement. The goal of this study was to examine the impact of situational interest dimensions on college students’ PA when playing the design-based bike exergame Greedy Rabbit (Vescape, Berlin, Germany). Methods: Sixty undergraduate students (age: 20.8 ± 1.3 years, mean ± SD, 18–25 years old; 51.7% males) were recruited from the kinesiology department of a university located in the southern region of Belgium. The participants were assigned to an experimental group (n = 41) or a control group (n = 19) based on an incremental cycling test. Students in the experimental group engaged in 1 session of Greedy Rabbit (Vescape) while students in the control group engaged in 1 session of a placebo version of Greedy Rabbit (Vescape). The length of the sessions ranged from 24 min to 31 min. Results: Results for the control group indicated that the players’ PA metrics (cadence: F(19, 360) = 1.43, p = 0.11; heart rate: F(19, 360) = 1.16, p = 0.29; oxygen consumption: F(19, 360) = 0.83, p = 0.67) were stable during the exergame. Results for the experimental group demonstrated the effects of time on the players’ PA metrics and revealed significant associations between the change in the players’ situational interest dimensions and PA metrics (cadence: F(19, 800) = 26.30, p < 0.01; heart rate: F(19, 800) = 19.77, p < 0.01; oxygen consumption: F(19, 800) = 10.04, p < 0.01). Conclusion: An approach using a design-based exergame may be a relevant strategy for promoting levels of PA that yields positive health-related outcomes among college students. © 2021	Active videogame; College students; Exergame; Physical activity; Situational interest	172	178	6	Scopus			X	O	O	O	O		
Qian Y.; Xiong Y.; Wang Y.; Jiang Y.; Liu Y.; Chai Y.	Identification of Key Features for VR Applications with VREVIEW: A Topic Model Approach	2022	These are a series of online platforms that allow users to rate and comment on VR virtual reality applications. In this paper, we develop a topic model, namely the general and sparse topic model, that automatically identifies a set of features of VR applications from user reviews. In our context, we overcome two severe challenges (i.e., internal noise and limited features mentioned in each review) to successfully learn the features of VR applications. Specifically, we introduce a general topic and a 'spike and slab' prior. In addition, we design a collapsed Gibbs sampling algorithm for model inference. We apply this topic model to a dataset from Oculus (namely VREVIEW), and show that our model can identify some distinct, economically meaningful features for VR applications, e.g., 'entertainment and fun,' 'challenge,' 'immersive,' and 'sickness.' Our research provides implications for VR consumer behavior analysis, optimizing user experience in virtual environments, and VR application recommendation. © 2022 IEEE.	Artificial intelligence; Computing methodologies; Feature Identification; Human computer interaction (HCI); Human-centered computing; Interaction paradigms; Knowledge representation and reasoning; Topic Model; User Reviews; Virtual Reality; Virtual reality; VR Game	183	188	5	Scopus			X	?	O	O	O		
Santorum M.; Carrion-Toro M.; Morales D.; Garcia F.; Flores B.; Galindo J.; Acosta-Vargas P.	A Serious Game Development for Vexillology Learning Using iPlus Methodology	2022	With the progress of society and the popularity of smartphones, more and more people are becoming mobile game players. Most of them are willing to invest time and money in mobile games. Game design as an emerging discipline is gradually emerging. It is more cross-cutting than other traditional design disciplines, with psychology being an important part of it. The goal of designing a game product is to create a better gaming experience that people can have fun with. Therefore, studying the psychology of the player is central to our mastery of the gaming experience. This paper will use design psychology as a basis to explore how game apps can meet the psychological needs of players. Take the current popular MOBA mobile game product “Honor of Kings” as an example. The impact of its excellent game product design elements on players' psychology is studied. The paper not only examines and summarizes the principles and methods of game product design from a theoretical level but also focuses on the exploration of the technical aspects of the game. The conclusions help to understand the behavior of game users and their patterns, and provide some reference value for the development of future game products. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.	Design psychology; Game design; Honor of Kings; Moba games; Mobile games; Product design	145	151	6	Scopus			X						
Shaheen A.; Halvorsen F.; Fotaris P.	A Reflective Game Design framework for Game-Based Learning	2022	Reflective practice is the ability to revisit and reassess one's previous actions to engage intentionally in the process of learning. The concept of reflection leads from unconscious aspects of learning or experience to mindful awareness, giving an individual the power to absorb everyday experiences to make appropriate conscious choices. Digital games in game-based learning (GBL) offer interactive learning with authentic practice and a high retention rate. Digital games are also considered an immersive and safe medium of stealth learning with the freedom to identify, explore, fail, and then retry. Main game elements such as feedback in a user interface (UI), head-up displays (HUDs), maps, prompt messages, and social discourse are reflective in nature; therefore, by default, games are reflection machines and appropriate mediums for triggering and supporting reflective learning. However, despite reflective learning having the ability to improve teaching and learning experiences in a practical form, work dedicated to reflective design in GBL is still limited. Previous studies have incorporated reflective practices into a learning environment to improve the learning rate. These practices may vary over domains and yield different outcomes that are not converged yet. While current game design comprises all features that facilitate reflection "as a whole set", it misses individual reflection differences. However, getting maximum usage of the reflective nature of games with authentic learning content while maintaining the fun criteria can be challenging. Hence, a sound design methodology and guidelines are needed to assist the game designer in aiding effective learning with reflective practices. In this paper, our primary purpose is to align reflective learning practices with existing GBL approaches and then provide a framework to incorporate reflective learning practices into designing GBL. The intention is that this framework will help designers, educators, and researchers to design game-based learning experiences following reflective design practices. © 2022 Dechema e.V.. All rights reserved.	framework; game design; game-based learning; learning cycle; Reflective design; reflective learning	758	765	7	Scopus			X	?	O	O	O		
Sten Andersen M.; Rask Schmahl O.; Galli G.; Alavesa P.; Pakanen M.	HIPPA: Smart Wearables for Enriching the Gameplay of a Traditional Tag Game	2022	Nowadays children are more and more focused on playing social games with their peers through technological devices staying most of the time immobile indoors. Pervasive games and location-based mobile games, such as Pokémon Go, have a stand against this negative phenomenon as gameplay takes place outdoors with the city as the game arena. However, there are still many possibilities to encourage children to actually play together outdoors and simultaneously challenge themselves to fitness gain via physical exercise as they used to do in the traditional social outdoor games, such as tag game. In this work in progress paper, we aim on adding challenge to the gameplay as well as enriching the haptic player and social experience of the tag game by design, crafting and implementation of a two-piece social gaming wearable, HIPPA (figure 1 a-c). HIPPA is aimed to offer a more competitive and fun tag player experience.  © 2022 Owner/Author.	Design process; Interaction modalities; Tag game; Wearables	31	37	6	Scopus			X	?	O	O	O		
Williams T.; El-Gayar O.	Design of a Virtual Cybersecurity Escape Room	2022	Game-based learning has been regarded as one of the best ways to raise public awareness of important issues. It is also a feasible strategy. The promotion of sustainable development education is not limited to schools as the issue of sustainability is related to everyone. The learning of sustainable development goals through games can extend to public sectors, companies, and private units so that more people understand the sustainable development concepts and the content of sustainable development goals. This study aimed to develop and design a board game aiming to acquaint learners with the Sustainable Development Goals (SDGs) of the United Nations and to add fun to the serious issue and make it closer to life while maintaining knowledge. The result indicates that the “SDGs Board Game” designed by this study has an inspiring effect on learning the meaning and goals of sustainable development. When used in class, it can enhance learners’ knowledge and reflection on sustainable development goals. When used out of class, according to the feedback, learners can establish the basic concepts of the Sustainable Development Goals after playing the game. The experts suggest that in the future, slight improvements of the SDGs game mechanism should be carried out. By working with art editors and manufacturers, it can be commodified and promoted to be used in different units as an important tool to promote sustainable development education in Taiwan. © 2022 by the authors.	board game; education for sustainable development; games-based learning; serious games; Sustainable Development Goals	60	73	13	Scopus			X						
Deterding S.; Andersen M.M.; Kiverstein J.; Miller M.	Mastering uncertainty: A predictive processing account of enjoying uncertain success in video game play	2022	Why do we seek out and enjoy uncertain success in playing games? Game designers and researchers suggest that games whose challenges match player skills afford engaging experiences of achievement, competence, or effectance—of doing well. Yet, current models struggle to explain why such balanced challenges best afford these experiences and do not straightforwardly account for the appeal of high- and low-challenge game genres like Idle and Soulslike games. In this article, we show that Predictive Processing (PP) provides a coherent formal cognitive framework which can explain the fun in tackling game challenges with uncertain success as the dynamic process of reducing uncertainty surprisingly efficiently. In gameplay as elsewhere, people enjoy doing better than expected, which can track learning progress. In different forms, balanced, Idle, and Soulslike games alike afford regular accelerations of uncertainty reduction. We argue that this model also aligns with a popular practitioner model, Raph Koster’s Theory of Fun for Game Design, and can unify currently differentially modelled gameplay motives around competence and curiosity. Copyright © 2022 Deterding, Andersen, Kiverstein and Miller.	active inference; competence; game enjoyment; gaming motivation; predictive processing; uncertainty; video games				Scopus			X1	O	O	O	O	O	O
Theodoropoulou HG,Kiourt C,Michailidou N,Ioannakis GA,Motsiou P,Mourthos Y,Koutsoudis A,Pavlidis G,Tsiafaki D	Three Gods in Eleusis: Discovering Tangible and Intangible Cultural Heritage of Ancient Eleusis	2022	The present study concerns the design and implementation of a serious game for the on-site and remote promotion and dissemination of knowledge regarding the mythology of ancient Eleusis in an interactive, fun and educational way. Specifically, while playing, the user discovers artifacts exhibited in the archaeological museum and related to the archaeological site of Eleusis, unfolding the content of the myth of Persephone. The story takes place in a realistic three-dimensional virtual environment that simulates the Archaeological Museum of Eleusis. The selected archaeological artifacts, in combination with the narration of the myth of Persephone, transfer the knowledge about the historicity of the place in an experientially playful way. The main purpose of the study is to introduce a novel, interactive playful narrative digital museum experience, in which the user is guided through a mechanism to simultaneously acquire knowledge both for the intangible and tangible heritage of a site with significant historical value. The evolution of the scenario (story) is dynamic and based on the choices of the user. The content (text etc.) of the system is presented through a dynamic multilingual approach, which offers the management of multiple different languages and personalized content based on the target group. The system relies on cross-platform technologies to cover a wide range of users.	Eleusis, Game-Based Learning, Myth of Persephone, Serious Games, Tangible and Intangible Cultural Heritage	212	217	6	ACMDL		X							
A. Parab; N. Rathod; T. Patil; K. Deshpande; N. Deshmukh	A 3D Storyline Using Unity Game Engine	2022	Within the modern technological era, there is a growing desire for video games with compelling narratives and storylines. The popularity of e-sports has grown, and many players have found success in streaming and tournaments. With an upsurge in expansive user base, the gaming industry is taking off in wonderfulness, drawing in major innovation powerhouses to compete within the commercial center. This paper discusses a single-player game with an Indian folklore story. The purpose of this paper is to pique children's and teenagers' interest in Indian culture by portraying it as a video game. Video games are played or have been played by more than a 90percent of children, according to the study. If used correctly, it has the potential to be an extremely powerful method of disseminating information. This enables us to develop a Mahabharata-themed video game that will pique gamers' interest in the epic story. It's a fun game designed for operating systems like Windows. A player can learn about Indian mythology and respond to the game's difficulties while playing the shooter game. Unity3D software is essential for creating unique and entertaining games, as well as creating responsive video games and providing a more visual world[4]. A Computer program like Unity3D employments inventive approaches to game advancement. The Unity engine provides a comprehensive solution with interactive media installation features. It serves an important purpose in game development. Unity3D makes use of OpenGL to render 3D graphics[2] [6]. Blender is a 3D rendering and animation program widely used by professional artists to create animations, visual effects, 3D prints, interactive 3D applications, etc[2]. Although the Unity Engine and frameworks play an important role in the development process, they are not the only factors. Game creation frameworks include graphical user interfaces (GUIs) such as a level editor, script editor, sound editor, and material editor [8] that aid in the separation of functions. Blender allows users to create flexible models by providing 3D modeling, texturing, graphics editing, animating, match moving, rendering, motion graphics, video editing, and compositing. During the development of this game, Unity3D was used for the interactive game interface, while Blender software was used to create 3D characters.	Unity3D;Blender;Photoshop;Audition tool;After Effects tool	1	5	4	IEEE		X							
H. Haryanto; Aripin; A. Kardianawati; U. Rosyidah; E. Mulyanto; T. Sutojo	Fuzzy Adaptive Items in Design Activity of Appreciative Serious Game	2022	Serious game has been a very potential tool for learning, especially for online learning in the Covid 19 pandemic era. Using interactivity and experience as the main advantage, serious games offer a fun way to learn that can enhance the understanding of the learning material. However, the design of the serious game is difficult due to the different nature between learning and gaming. Game activity is one of the game elements that is difficult to develop. Appreciative serious game is the type of serious game that is using Appreciative Learning concept to design the activity. Appreciative serious game has four main stages, namely Discovery, Dream, Design and Destiny. Design stage is one of the most difficult stages, because it has the most activities compared to other stage, thus it should maintain the balance between boredom and frustration. Item often only viewed as a gimmick, even though it has potential to support the balance. This research is using fuzzy logic to produce adaptive item behavior, called fuzzy adaptive items. The fuzzy adaptive item takes life point and the number of errors, which resulted in the dynamic frequency of appearing relevant items. The results shows that items appear dynamically according to player performance.	Adaptive;Appreciative Learning;Fuzzy Logic;Game Activity Design;Item	1	6	5	IEEE		X							
M. SantÃ³rum; M. CarriÃ³n-Toro; D. Morales; F. GarcÃ­a; B. Flores; J. Galindo; P. Acosta-Vargas	A Serious Game Development for Vexillology Learning Using iPlus Methodology	2022	Developing a serious game is a challenge. One of the most difficult tasks is applying serious information in games while maintaining fun during the game. In this article, we propose the practical application of the iPlus methodology to design serious games that ensure these components integration. As a practical case, we study the development of a serious educational game for learning Vexillology for elementary and high school students, allowing students to reinforce the acquired knowledge in a fun and interactive way. The article also illustrates a usability evaluation to ensure the game is usable. The results show that â€œSerious Objectiveâ€ (86%) and â€œMultimediaâ€ (82%) are the components with the highest acceptance, being the game categorized on a usability scale between good and excellent.	serious game;gamification;vexillology;iPlus methodology;usability test	145	151	6	IEEE		X							
S. Andysa; M. Wildan; F. Sarasevia; W. Teguh; N. Limantara	Escape Room Mobile Game Design for Remote Learning	2022	Education has been there for a long time in human life. Since its existence, education have developed in such a progressive fashion in order to fulfill human needs. Even more with the help of digital technology and internet, education delivery has been forever changed and the change are here to stay. This paper purpose is to propose a design of education platform that utilizes digital technology, internet, and games. Using the design thinking approach, the result of this paper is a design of escape room-based design to provide an alternative education delivery platform in a fun way. Escape room-based design is chosen because of its unique ability to integrate game and education delivery.	serious games;game-based learning;education;escape room;design thinking	339	344	5	IEEE		X							
Tondorf D.F.; Hounsell M.S.	The Pursuit of Fun in Digital Games: From the Sandpit to the Console and Beyond	2023	Fun has long been considered inherent in the act of playing. Some authors argue that it is an element always present in games, and others that it is not, that there are several types of fun and several factors that change the perception of fun, but fun has always been associated with positive effects on players. As a subjective concept, and dependent on context and player experience, understanding fun in games is a challenge for developers. With the development of the industry and the research on digital games, it became necessary to create new artifacts for the design and validation of fun. Understanding fun is also essential for serious games, which have been criticized for not being fun. Thus, better understanding fun and how to achieve it is a big challenge where crucial outcomes could benefit application areas such as education, health, and others. But the roadmap for such an area of research has not been established. This chapter presents fun as a grand challenge in games and digital entertainment and proposes a path for future research. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.	Digital games; Fun; Game design	25	46	21	Scopus	!!		O	O	O	O	O	O	O
F. Luz; P. Fernandes; J. Cabral	Playing Pong without a TV Screen: an Alternative controller game	2023	This work addresses a practice-based research method for game development, that resulted from an intervention challenge on the iconic Pong (Atari, 1972). As a critical and tangible path centered on Player-Game interaction, a new game experience was developed - HexPong (2022) - through an alternative controller and playful game design approach to strengthen the emotional experience of fun.The playtesting phase was operationalized in two specific moments. During a period of 5 days, a group of 32 adult-aged stakeholders (N=31, 96.8%) â€“ of which 50.3% were students (N=11) or working-students (N=8) â€“ played the game. Through directed observation and survey by SAM questionnaire after the game's testing session, the results obtained frame the discussion around the relevance of game design practice-based research for learning game development in university context.	Game Design;Alternative Controllers;Games;Interaction Design	1	4	3	IEEE			?	?	?	?	X		
S. -J. Yen; K. -W. Lee	Monte Carlo Tree Search and Machine Learning Techniques on Block Go Programs	2023	Black Go, a game similar to Go, uses Tetris-like pieces and can teach complex Go logic through a fun and easy game process. Monte Carlo tree search can be used to design Block Go programs, and machine learning techniques can train game records and obtain useful game patterns. The paper discusses how to develop a pattern database on Block Go and its performance on Monte Carlo tree search to create a good Block Go program.	Computer game;Machine learning;Monte Carlo Tree Search;Block Go	256	257	1	IEEE		X	?	?	?	?	X		
S. Oguta; A. Akinyinka; S. Ojo; B. Maake	The Constraints of The Adoption of Gamification for Education and Training in Higher Education Institutions: A Systematic Literature Review	2023	Gamification, a concept that describes the use of game design elements in non-game scenarios, inan attempt to induce fun and motivation in non-game scenarios, has found application in a variety of contexts. In education, popular gamification elements that have been introduced to make learning fun includes the use of points, levels, missions, leaderboards, badges, and avatars. New gamification such as the use of social robots is now in vogue. Despite the enormous potential of these gaming concepts, researchers have unearthed some challenges that face the adoption of gamification in educational systems of Higher Education Institutions. In this study's systematic literature review, the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) framework was used to explore the difficulties encountered when using gamification in training and education at colleges and universities and tosuggest potential solutions. Several researches that employed gamification were elicited from databases such as google scholar, Scopus and research gate. The shortcomings encountered during the deployment of gamification in these studies were summarized. The study's findings reveal that he difficulties encountered when adopting gamification in education and training in higher education institutions can be divided into three categories: design concerns, issues with short-term engagement, and problems with user adaptability. Likewise, potential fixes for the issues were mapped out for future designers of educational gamified systems to follow.	Gamification;Game-based;user-adaptation;e-learning;PRISMA	1	6	5	IEEE			?	?	?	?	?	X	
V. Dambhare; R. Wader; V. Jadhav; Y. Gaikwad; A. Warghane	Exergame with Deep-Learning and Sensors	2023	The shift from offline to online work has resulted in long sitting hours of the students and employees. It is crucial for them to do at least some physical movements in between sitting hours. Some fun activities could motivate them to do exercise. For this purpose, we have proposed a game which can be played in real time. The diminishing equipment cost makes it reasonable to Virtual Reality (VR) headsets with gaming hardware and gestures. In this paper, we talk about the utilization of various gamification methods in VR for encouraging exercise. We portray both the hardware setting and the use of sensors to detect the user gestures for jumping and crouching. We assess the viability of such strategies through a user study, which gives valuable insights on their effectiveness in designing such apps.	Gamification;Deep learning;Video Classification;Immersion;Unity 2D;Virtual Reality;Fitness;Heart rate sensor;Internet Of Things	1	4	3	IEEE			?	?	?	?	X		
Chen G.; Xie X.; Yang Z.; Deng R.; Huang K.; Wang C.	Development of a Virtual Reality Game for Cultural Heritage Education: The Voyage of 'Gotheborg'	2023	Video games have been recognized as one of the most engaging forms of entertainment today, and are making a major contribution to the digital future. This research aims to combine the gaming elements of game design and virtual reality technology, and promote cultural heritage education through an engaging and fun experience, especially in a young population. Firstly, we summarized game mechanics and elements used for cultural heritage education through game product analysis and literature review. Secondly, we developed a virtual reality game for cultural heritage education that reproduced the voyage of 'Gotheborg' to Canton, including game mechanic, game story, aesthetic expression and game technology. Finally, a pilot test was conducted to validate the effectiveness of our game developed. Our study contributes interdisciplinary research by bringing together currently distinct approaches from virtual reality technology, game design, cultural heritage, and education. It will bring new technology to impact on the digital media, cultural heritage education, and service industries.  © 2023 IEEE.	cultural heritage education; video game; virtual reality	531	535	4	Scopus			?	?	O	O	X		
Grogorick L.; Rohde M.; Khosrawi-Rad B.; Robra-Bissantz S.	FICTION OR REALITY - WHICH GAME STORY PROMOTES LEARNING OUTCOME MORE?	2023	Digital Game-based Learning (DGBL) has achieved several positive results in recent years, e.g., increased fun, motivation, or learning outcome. However, many DGBL applications fail, which makes an isolated consideration of individual game elements and their influence on learning necessary to better design future DGBL applications. One widely used game element is the game story. As there is little research on how a game story should be designed to promote learning, this paper conducts an experiment comparing a fictional game story with a realistic one. The results show that both game stories lead to a significant objective knowledge gain. In terms of learning outcome, both game stories achieved similar results. © University of Maribor, University Press.	game story; learning outcome; motivation; presentation skills; serious game	441	456	15	Scopus			?	?	O	O	O	?	X
Hao K.-C.	Creating a DGBL integrating ARCS motivation theory with animation, narrative story, fun, and usability to enhance learning motivation and effectiveness	2023	This study designed a digital teaching game named Kitties' Magic Journey (KMJ). The principle of leveraging in the course of natural technology and life was used as the teaching subject. The game combined design items included animation, narrative story, fun and usability, which integrated ARCS learning motivation theory. The experimental group used KMJ, whereas the control group used traditional teaching. The two groups were administered pre- and post-tests, the ARCS learning motivation scale, and a semi-open questionnaire. In addition, the experimental group was administered a digital game design scale. The results showed that both KMJ and traditional teaching improved learning effectiveness. Although the learning effectiveness of the experimental group was higher than that of the control group, the difference was not statistically significant. Furthermore, the learning motivation of the experimental group was significantly higher than that of the control group. A canonical correlation analysis of the game design items dimensions and the learning motivation dimensions showed significant correlations, and animation dimension showed the strongest correlation with relevance dimension. The results of this study can provide future reference and guidance in game teaching design and help design a game-based learning system that can attract students. © 2021 Informa UK Limited, trading as Taylor & Francis Group.	animation; ARCS learning motivational model; Digital game-based learning (DGBL); narrative story; usability	5698	5714	16	Scopus			?	?	O	O	O	?	X
Haryanto H.; Rosyidah U.; Kardianawati A.; Sutojo T.; Mulyanto E.; Lakoro R.	Activity Design based on Appreciative Learning in Disaster Mitigation Serious Game	2023	As a disaster-prone country, Indonesia needs proper tools for disaster education. Serious games have the potential to be a useful tool for disaster mitigation training because they offer a fun learning environment to produce information that is easier to understand. The learning environment creates the immersive experience, one of the most important element in the game. Game activity design is essential to build the immersive experience. However, in most serious games, the game activities are poorly designed. In this study, we use Appreciative Learning as the fundamental concept to design game activities and enhance the immersive experience. Appreciative Learning emphasizes the discovery of potential, peak achievements, opportunities, and hope for the future. The four stages of appreciative learning are discovery, dream, design, and destiny. Then, Appreciative Learning based activities are are implemented to create more dynamic immersive experiences. As an experiment tool, the puzzle game for disaster mitigation, 'Evakuator,' is developed. The Game Experience Questionnaire measures player experience in playing Evakuator, scoring 3.3 out of 4.  © 2023 IEEE.	Appreciative Learning; disaster mitigation; game activities; immersive experience; serious game	52	56	4	Scopus			?	?	O	O	X		
